MD,24,015,Cecil County,90764,01929705,District 9, Calvert,Z1,N
MD,24,017,Charles County,90032,01929421,District 1, La Plata,Z1,N
MD,24,017,Charles County,90124,01929533,District 2, Hill Top,Z1,N
MD,24,017,Charles County,90216,01929587,District 3, Nanjemoy,Z1,N
MD,24,017,Charles County,90308,01929602,District 4, Allens Fresh,Z1,N
MD,24,017,Charles County,90400,01929641,District 5, Thompkinsville,Z1,N
MD,24,017,Charles County,90492,01929663,District 6, Waldorf,Z1,N
MD,24,017,Charles County,90584,01929675,District 7, Pomonkey,Z1,N
MD,24,017,Charles County,90676,01929691,District 8, Bryantown,Z1,N
MD,24,017,Charles County,90768,01929709,District 9, Hughesville,Z1,N
MD,24,017,Charles County,90860,01929439,District 10, Marbury,Z1,N
MD,24,019,Dorchester County,90036,01929419,District 1, Fork,Z1,N
MD,24,019,Dorchester County,90128,01929527,District 2, East New Market,Z1,N
MD,24,019,Dorchester County,90220,01929591,District 3, Vienna,Z1,N
MD,24,019,Dorchester County,90312,01929619,District 4, Taylors Island,Z1,N
MD,24,019,Dorchester County,90404,01929633,District 5, Lakes,Z1,N
MD,24,019,Dorchester County,90496,01929654,District 6, Hoopers Island,Z1,N
MD,24,019,Dorchester County,90588,01929669,District 7, Cambridge,Z1,N
MD,24,019,Dorchester County,90680,01929695,District 8, Neck,Z1,N
MD,24,019,Dorchester County,90772,01929706,District 9, Church Creek,Z1,N
MD,24,019,Dorchester County,90864,01929444,District 10, Straits,Z1,N
MD,24,019,Dorchester County,90952,01929451,District 11, Drawbridge,Z1,N
MD,24,019,Dorchester County,91044,01929467,District 12, Williamsburg,Z1,N
MD,24,019,Dorchester County,91136,01929470,District 13, Bucktown,Z1,N
MD,24,019,Dorchester County,91228,01929486,District 14, Linkwood,Z1,N
MD,24,019,Dorchester County,91320,01929494,District 15, Hurlock,Z1,N
MD,24,019,Dorchester County,91412,01929502,District 16, Madison,Z1,N
MD,24,019,Dorchester County,91504,01929509,District 17, Salem,Z1,N
MD,24,019,Dorchester County,91596,01929513,District 18, Elliott,Z1,N
MD,24,021,Frederick County,90040,01929414,District 1, Buckeystown,Z1,N
MD,24,021,Frederick County,90132,01929529,District 2, Frederick,Z1,N
MD,24,021,Frederick County,90224,01929585,District 3, Middletown,Z1,N
MD,24,021,Frederick County,90316,01929609,District 4, Creagerstown,Z1,N
MD,24,021,Frederick County,90408,01929629,District 5, Emmitsburg,Z1,N
MD,24,021,Frederick County,90500,01929648,District 6, Catoctin,Z1,N
MD,24,021,Frederick County,90592,01929682,District 7, Urbana,Z1,N
MD,24,021,Frederick County,90684,01929694,District 8, Liberty,Z1,N
MD,24,021,Frederick County,90776,01929711,District 9, New Market,Z1,N
MD,24,021,Frederick County,90868,01929436,District 10, Hauvers,Z1,N
MD,24,021,Frederick County,90956,01929456,District 11, Woodsboro,Z1,N
MD,24,021,Frederick County,91048,01929465,District 12, Petersville,Z1,N
MD,24,021,Frederick County,91140,01929476,District 13, Mount Pleasant,Z1,N
MD,24,021,Frederick County,91232,01929485,District 14, Jefferson,Z1,N
MD,24,021,Frederick County,91324,01929497,District 15, Thurmont,Z1,N
MD,24,021,Frederick County,91416,01929501,District 16, Jackson,Z1,N
MD,24,021,Frederick County,91508,01929508,District 17, Johnsville,Z1,N
MD,24,021,Frederick County,91600,01929516,District 18, Woodville,Z1,N
MD,24,021,Frederick County,91692,01929519,District 19, Linganore,Z1,N
MD,24,021,Frederick County,91784,01929548,District 20, Lewistown,Z1,N
MD,24,021,Frederick County,91876,01929552,District 21, Tuscarora,Z1,N
MD,24,021,Frederick County,91968,01929554,District 22, Burkittsville,Z1,N
MD,24,021,Frederick County,92060,01929557,District 23, Ballenger,Z1,N
MD,24,021,Frederick County,92152,01929560,District 24, Braddock,Z1,N
MD,24,021,Frederick County,92244,01929563,District 25, Brunswick,Z1,N
MD,24,021,Frederick County,92336,01929567,District 26, Walkersville,Z1,N
MD,24,023,Garrett County,90044,01929428,District 1, Swanton,Z1,N
MD,24,023,Garrett County,90136,01929530,District 2, Friendsville,Z1,N
MD,24,023,Garrett County,90228,01929581,District 3, Grantsville,Z1,N
MD,24,023,Garrett County,90320,01929603,District 4, Bloomington,Z1,N
MD,24,023,Garrett County,90412,01929624,District 5, Accident,Z1,N
MD,24,023,Garrett County,90504,01929660,District 6, Sang Run,Z1,N
MD,24,023,Garrett County,90596,01929672,District 7, East Oakland,Z1,N
MD,24,023,Garrett County,90688,01929698,District 8, Red House,Z1,N
MD,24,023,Garrett County,90780,01929707,District 9, Finzel,Z1,N
MD,24,023,Garrett County,90872,01929434,District 10, Deer Park,Z1,N
