ID,16,001,Ada County,00395066,H1,A
ID,16,003,Adams County,00395067,H1,A
ID,16,005,Bannock County,00395091,H1,A
ID,16,007,Bear Lake County,00395090,H1,A
ID,16,009,Benewah County,00395190,H1,A
ID,16,011,Bingham County,00400593,H1,A
ID,16,013,Blaine County,00395696,H1,A
ID,16,015,Boise County,00395157,H1,A
ID,16,017,Bonner County,00395158,H1,A
ID,16,019,Bonneville County,00395407,H1,A
ID,16,021,Boundary County,00395159,H1,A
ID,16,023,Butte County,00401703,H1,A
ID,16,025,Camas County,00399408,H1,A
ID,16,027,Canyon County,00399406,H1,A
ID,16,029,Caribou County,00395406,H1,A
ID,16,031,Cassia County,00395698,H1,A
ID,16,033,Clark County,00399755,H1,A
ID,16,035,Clearwater County,00395697,H1,A
ID,16,037,Custer County,00399758,H1,A
ID,16,039,Elmore County,00400252,H1,A
ID,16,041,Franklin County,00395585,H1,A
ID,16,043,Fremont County,00395408,H1,A
ID,16,045,Gem County,00395442,H1,A
ID,16,047,Gooding County,00395441,H1,A
ID,16,049,Idaho County,00395699,H1,A
ID,16,051,Jefferson County,00399751,H1,A
ID,16,053,Jerome County,00395662,H1,A
ID,16,055,Kootenai County,00395661,H1,A
ID,16,057,Latah County,00395613,H1,A
ID,16,059,Lemhi County,00399754,H1,A
ID,16,061,Lewis County,00395622,H1,A
ID,16,063,Lincoln County,00395624,H1,A
ID,16,065,Madison County,00394803,H1,A
ID,16,067,Minidoka County,00394807,H1,A
ID,16,069,Nez Perce County,00399394,H1,A
ID,16,071,Oneida County,00399759,H1,A
ID,16,073,Owyhee County,00399760,H1,A
ID,16,075,Payette County,00394896,H1,A
ID,16,077,Power County,00394951,H1,A
ID,16,079,Shoshone County,01702379,H1,A
ID,16,081,Teton County,00399297,H1,A
ID,16,083,Twin Falls County,00399334,H1,A
ID,16,085,Valley County,00399756,H1,A
ID,16,087,Washington County,00399757,H1,A
